,Customer ID,Total Amount,Frequency,Last Time,Clustering
0,12346.0,-64.67999999999302,48,325,2
1,12347.0,5633.3199999999915,253,1,0
2,12348.0,2019.4,51,74,0
3,12349.0,4404.540000000003,180,18,0
4,12350.0,334.40000000000003,17,309,2
5,12351.0,300.93,21,374,2
6,12352.0,1889.2100000000003,113,35,0
7,12353.0,406.75999999999993,24,203,0
8,12354.0,1079.4,58,231,0
9,12355.0,947.61,35,213,0
10,12356.0,6373.679999999995,143,22,0
11,12357.0,18287.659999999993,296,32,0
12,12358.0,3887.070000000003,77,1,0
13,12359.0,8714.889999999996,375,7,0
14,12360.0,4212.890000000001,218,51,0
15,12361.0,511.24999999999994,29,286,2
16,12362.0,5284.580000000002,275,2,0
17,12363.0,552.0,23,109,0
18,12364.0,1313.1000000000001,85,7,0
19,12365.0,320.69,23,290,2
20,12366.0,500.24,3,633,2
21,12367.0,168.9,11,3,0
22,12368.0,917.6999999999999,18,627,2
23,12369.0,1791.15,93,412,2
24,12370.0,4320.309999999998,202,50,0
25,12371.0,4067.3799999999983,167,44,0
26,12372.0,1298.0400000000002,52,71,0
27,12373.0,1127.65,51,310,2
28,12374.0,2989.2200000000007,83,24,0
29,12375.0,455.42000000000013,18,2,0
30,12376.0,503.15,13,389,2
31,12377.0,3426.319999999998,152,314,2
32,12378.0,5416.32,301,129,0
33,12379.0,1618.27,82,81,0
34,12380.0,7888.0000000000055,283,21,0
35,12381.0,1803.9600000000005,91,4,0
36,12382.0,-18.38,1,681,2
37,12383.0,1839.3099999999997,100,184,0
38,12384.0,566.16,30,28,0
39,12385.0,1923.3999999999999,66,378,2
40,12386.0,660.8,18,337,2
41,12387.0,143.94,9,414,2
42,12388.0,3901.110000000001,146,15,0
43,12389.0,1433.33,49,402,2
44,12390.0,549.8399999999999,32,79,0
45,12391.0,2747.8199999999943,287,21,0
46,12392.0,234.75000000000003,7,590,2
47,12393.0,2376.7499999999995,112,71,0
48,12394.0,1272.48,27,63,0
49,12395.0,5046.919999999996,257,15,0
50,12396.0,931.4300000000006,65,673,2
51,12397.0,2409.9000000000005,126,35,0
52,12398.0,1635.6599999999999,85,45,0
53,12399.0,1962.3000000000013,110,118,0
54,12400.0,205.25,11,413,2
55,12401.0,84.3,5,302,2
56,12402.0,1244.1500000000003,71,322,2
57,12403.0,1001.36,10,49,0
58,12404.0,63.24,1,681,2
59,12405.0,1710.3900000000006,54,148,0
60,12406.0,6072.209999999998,170,21,0
61,12407.0,1708.1199999999997,77,49,0
62,12408.0,4279.640000000002,170,32,0
63,12409.0,23090.46999999999,272,78,0
64,12410.0,1001.4599999999999,42,300,2
65,12411.0,346.9,22,409,2
66,12412.0,2581.0300000000016,131,74,0
67,12413.0,935.4999999999998,53,66,0
68,12414.0,692.41,37,216,0
69,12415.0,143269.28999999978,990,23,0
70,12416.0,202.56,11,656,2
